orig_fkgl,simp_fkgl,reduction,ave_reduction
4.8,3.7,0.22916666666666663,0.13107993575136953
6.9,5.7,0.17391304347826086,
12.4,9.5,0.2338709677419355,
6.1,4.0,0.34426229508196715,
6.3,5.9,0.06349206349206338,
6.6,6.8,-0.030303030303030276,
4.6,4.7,-0.021739130434782705,
7.2,7.0,0.02777777777777779,
8.7,7.9,0.09195402298850563,
8.3,7.8,0.06024096385542177,
7.0,6.7,0.042857142857142816,
10.6,6.6,0.37735849056603776,
11.1,10.0,0.09909909909909909,
9.2,9.0,0.021739130434782483,
9.6,8.4,0.12499999999999989,
9.2,8.2,0.10869565217391308,
8.2,7.3,0.1097560975609756,
8.7,6.4,0.2643678160919539,
4.6,4.5,0.021739130434782483,
9.7,7.0,0.2783505154639174,
