orig_fkgl,simp_fkgl,reduction,ave_reduction
4.8,5.0,-0.04166666666666674,0.17557342418349792
6.9,4.8,0.30434782608695654,
12.4,10.2,0.17741935483870974,
6.1,4.6,0.24590163934426235,
6.3,3.9,0.38095238095238093,
6.6,6.6,0.0,
4.6,2.8,0.3913043478260869,
7.2,6.1,0.1527777777777779,
8.7,5.1,0.4137931034482758,
8.3,7.3,0.12048192771084343,
7.0,7.0,0.0,
10.6,10.6,0.0,
11.1,8.7,0.21621621621621623,
9.2,7.7,0.1630434782608695,
9.6,7.3,0.23958333333333337,
9.2,5.5,0.40217391304347816,
8.2,7.9,0.03658536585365846,
8.7,5.3,0.3908045977011494,
4.6,5.5,-0.19565217391304368,
9.7,8.6,0.11340206185567003,
